Questionnaire Number,Q14,Q15,Q16,Q17,Q18,QQ19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
1,5,4,3,4,3,2,3,2,1,4,2,1,1
2,3,4,3,4,3,2,3,2,2,4,2,1,5
3,1,4,3,4,3,2,3,2,2,4,3,1,5
4,2,4,4,4,3,4,4,2,2,4,3,4,1
5,4,4,4,4,3,4,4,3,2,4,3,4,3
6,2,5,4,4,4,4,5,4,4,4,3,4,3
7,4,5,4,3,4,3,5,5,4,4,4,5,4
8,4,3,4,3,2,4,1,5,4,5,5,4,3
9,4,3,5,1,1,3,3,4,3,4,2,3,4
10,3,5,5,3,1,4,5,4,3,4,4,3,4
11,3,4,4,5,5,4,4,4,3,4,4,4,4
12,3,3,5,3,5,2,3,4,3,4,2,4,4
13,5,4,4,5,4,4,5,4,4,5,3,4,3
14,5,4,4,3,4,4,5,5,4,4,4,5,4
15,5,5,4,2,2,2,1,5,4,5,5,5,3
16,3,5,4,4,1,2,3,4,3,4,3,5,2
17,4,3,4,4,1,3,3,4,3,4,3,4,3
18,4,3,5,4,3,3,3,5,3,4,3,3,1
19,2,4,5,4,2,5,5,5,4,4,3,4,5
20,1,5,3,3,3,3,5,4,4,4,3,3,5
21,5,2,3,3,1,5,4,3,3,4,2,4,5
22,5,1,5,3,5,3,3,4,2,4,3,4,4
23,4,4,4,3,5,2,4,3,3,5,1,4,3
24,4,4,3,4,5,4,3,4,1,5,5,4,4
25,3,4,4,5,4,4,4,4,5,5,5,3,3
26,3,5,4,5,3,4,4,4,5,5,5,2,4
27,5,5,5,2,4,4,4,4,5,3,4,3,2
28,5,4,5,4,4,4,5,1,4,5,4,4,3
29,5,4,3,5,4,5,5,4,4,5,4,5,3
30,4,4,3,5,4,5,5,4,5,5,5,5,4
31,4,3,4,2,2,4,2,4,1,2,1,4,3
32,3,3,5,3,3,4,2,5,1,3,4,4,3
33,5,5,2,3,3,4,3,5,5,3,4,4,5
34,4,5,1,4,4,3,3,4,5,3,4,3,5
35,1,4,4,5,3,3,3,4,5,4,1,3,4
36,4,4,4,4,4,5,3,4,2,4,2,5,4
37,5,5,4,5,3,5,3,3,4,4,2,5,4
38,3,2,5,4,3,4,4,3,1,4,2,4,3
39,3,2,5,4,5,4,4,5,4,4,2,4,3
40,1,2,4,5,3,5,4,5,4,4,2,5,3
41,2,2,4,4,3,2,4,4,2,4,2,1,3
42,2,2,4,4,3,2,4,4,2,4,2,1,5
43,5,2,4,4,4,5,4,4,4,3,4,3,5
44,5,2,3,4,3,5,5,4,4,4,5,4,5
45,4,2,3,2,4,1,5,4,5,5,4,3,4
46,4,2,1,1,3,3,4,3,4,2,3,1,4
47,3,2,3,1,4,3,4,3,4,2,3,5,2
48,5,2,5,1,4,3,4,3,4,2,4,5,4
49,1,2,3,1,2,3,4,3,4,2,4,1,1
50,5,2,5,4,4,5,4,4,5,3,4,3,1
51,5,2,3,4,4,5,5,4,4,4,5,4,5
52,4,3,2,2,2,1,5,4,5,5,5,3,5
53,1,3,4,1,2,3,4,3,4,3,5,2,5
54,4,3,4,1,3,3,4,3,4,3,4,3,4
55,5,5,4,3,3,3,5,3,4,3,3,1,3
56,3,3,4,2,5,5,5,4,4,3,4,5,3
57,3,3,3,3,3,5,4,4,4,3,3,5,5
58,5,5,3,1,5,4,3,3,4,2,4,5,5
59,5,3,3,5,3,3,4,2,4,3,4,4,4
60,5,5,3,5,2,4,3,3,5,1,4,3,4
61,4,4,4,5,4,3,4,1,5,5,4,4,4
62,4,4,5,4,4,4,4,5,5,5,3,3,3
63,4,4,5,3,4,4,3,5,5,5,2,4,4
64,3,3,2,4,4,3,4,4,3,4,3,2,4
65,3,4,4,4,4,3,5,3,3,5,3,3,3
66,5,3,4,4,4,5,4,3,3,5,3,3,5
67,5,4,3,4,4,5,4,5,3,4,3,3,5
68,4,4,3,4,4,4,3,5,3,4,3,3,5
69,4,5,5,5,3,4,3,4,4,4,3,3,4
70,4,4,5,5,3,4,5,4,4,4,3,3,4
71,3,4,4,5,5,3,5,4,5,4,3,3,2
72,3,4,4,4,5,3,4,3,5,3,5,3,4
73,3,3,4,4,4,3,4,3,3,3,5,4,2
74,3,3,3,3,4,3,5,3,4,5,4,3,2
75,5,5,3,4,4,5,4,3,4,5,4,3,2
76,5,4,3,3,3,5,4,5,4,4,4,5,2
77,5,5,3,4,3,5,4,5,4,4,3,5,2
78,4,5,5,4,3,4,4,5,4,4,3,4,2
79,4,4,5,3,3,4,4,4,4,3,3,4,2
80,2,4,5,4,5,2,4,4,3,3,3,4,2
81,4,4,4,5,5,4,4,2,3,3,5,3,2
82,2,2,4,4,5,2,5,4,5,3,5,3,2
83,2,4,2,5,4,2,5,2,5,5,5,3,3
84,4,1,4,5,4,4,5,2,4,5,4,3,3
85,4,4,5,4,2,3,5,4,4,5,4,5,5
86,4,4,5,4,4,3,5,4,4,4,2,5,5
87,4,4,4,4,4,3,5,4,3,4,4,5,4
88,4,4,4,4,4,4,5,4,3,2,3,4,4
89,5,4,4,3,4,3,5,5,3,4,4,4,4
90,5,4,3,3,2,4,1,5,3,5,5,2,3
91,3,4,3,1,1,3,3,4,5,4,2,4,3
92,3,4,3,3,5,4,3,4,5,4,2,2,3
93,5,3,3,5,5,4,3,4,5,4,2,2,3
94,4,3,5,3,1,2,3,4,4,4,2,4,5
95,3,5,5,5,4,4,5,4,4,5,3,4,5
96,4,5,5,3,4,4,5,5,2,4,4,5,5
97,4,4,4,2,2,2,1,5,4,5,5,5,4
98,5,4,4,4,1,2,3,4,3,4,3,5,4
99,5,4,2,4,1,3,3,4,3,4,3,4,2
100,3,3,4,4,3,3,3,5,3,4,3,3,4
101,3,3,2,4,2,5,5,5,4,4,3,4,5
102,4,3,2,3,3,3,5,4,4,4,3,3,5
103,5,3,4,3,1,5,4,5,3,4,2,4,5
104,2,5,4,3,5,3,3,1,2,4,3,4,4
105,1,5,4,3,5,2,4,3,3,5,1,4,3
106,4,5,4,4,5,4,3,3,1,5,5,4,4
107,4,4,4,5,4,4,4,3,5,5,5,3,3
108,4,4,3,5,3,4,4,5,5,5,5,2,4
109,5,2,4,2,4,4,4,5,4,3,4,3,2
110,5,4,4,5,5,4,5,4,5,5,4,4,4
111,4,4,5,5,4,3,5,3,5,5,4,4,4
112,4,4,5,4,5,4,5,4,5,5,5,4,4
113,4,5,5,5,5,4,4,3,5,4,5,5,4
114,3,5,5,5,3,5,5,4,5,5,5,5,4
115,3,4,4,5,5,5,3,4,4,5,5,4,4
116,5,5,5,3,5,4,5,4,5,3,5,4,5
117,5,4,5,5,5,4,5,5,5,3,5,4,5
118,4,5,3,4,4,5,4,5,5,5,5,5,3
119,4,4,5,5,5,5,5,5,5,3,5,5,5
120,5,5,3,5,5,5,5,4,5,5,5,3,5
